County FIPS	County Name	Industry	Industry Title	Year	Average Employment	Total Wages	Average Weekly Wages	Average Annual Wages	
027	Dutchess	04	Manufacturing	1987	30061	1077854674	689.53	35856	
027	Dutchess	04	Manufacturing	1988	30616	1135543242	713.26	37089	
027	Dutchess	04	Manufacturing	1989	30542	1193485030	751.48	39077	
027	Dutchess	04	Manufacturing	1990	29857	1278612517	823.56	42825	
027	Dutchess	04	Manufacturing	1991	27543	1229762984	858.64	44649	
027	Dutchess	04	Manufacturing	1992	23681	1129815739	917.50	47710	
027	Dutchess	04	Manufacturing	1993	18146	1012572770	1073.12	55802	
027	Dutchess	04	Manufacturing	1994	15976	774828771	932.70	48500	
027	Dutchess	04	Manufacturing	1995	16914	818387267	930.49	48385	
027	Dutchess	04	Manufacturing	1996	17196	909069008	1016.65	52866	
027	Dutchess	04	Manufacturing	1997	17552	948260261	1038.95	54025	
027	Dutchess	04	Manufacturing	1998	17626	1102030863	1202.34	62522	
027	Dutchess	04	Manufacturing	1999	16936	1181501625	1341.62	69764	
027	Dutchess	04	Manufacturing	2000	17288	1203336837	1338.60	69607	
027	Dutchess	05	Transportation & Public Utilities	1975	3418	41069156	231.09	12017	
027	Dutchess	05	Transportation & Public Utilities	1976	3400	44847183	253.65	13190	
027	Dutchess	05	Transportation & Public Utilities	1977	3408	47531124	268.24	13948	
027	Dutchess	05	Transportation & Public Utilities	1978	3484	53761049	296.73	15430	
027	Dutchess	05	Transportation & Public Utilities	1979	3391	50931385	288.81	15018	
027	Dutchess	05	Transportation & Public Utilities	1980	3520	67101123	366.55	19061	
027	Dutchess	05	Transportation & Public Utilities	1981	3470	74290818	411.68	21407	
027	Dutchess	05	Transportation & Public Utilities	1982	3698	86397342	449.29	23363	
027	Dutchess	05	Transportation & Public Utilities	1983	3829	88101261	442.50	23010	
027	Dutchess	05	Transportation & Public Utilities	1984	4080	93422253	440.29	22895	
027	Dutchess	05	Transportation & Public Utilities	1985	4113	98642413	461.19	23982	
027	Dutchess	05	Transportation & Public Utilities	1986	4181	104106255	478.82	24899	
027	Dutchess	05	Transportation & Public Utilities	1987	4350	114330360	505.49	26285	
027	Dutchess	05	Transportation & Public Utilities	1988	4546	121832852	515.44	26803	
027	Dutchess	05	Transportation & Public Utilities	1989	4706	126202606	515.76	26819	
027	Dutchess	05	Transportation & Public Utilities	1990	4629	131399245	545.95	28389	
027	Dutchess	05	Transportation & Public Utilities	1991	4226	125714527	572.10	29749	
027	Dutchess	05	Transportation & Public Utilities	1992	4294	131923721	590.89	30726	
027	Dutchess	05	Transportation & Public Utilities	1993	4275	133037231	598.50	31122	
027	Dutchess	05	Transportation & Public Utilities	1994	4428	139423188	605.53	31487	
027	Dutchess	05	Transportation & Public Utilities	1995	4459	142873366	616.24	32045	
027	Dutchess	05	Transportation & Public Utilities	1996	4979	156916474	606.06	31515	
027	Dutchess	05	Transportation & Public Utilities	1997	4745	156022757	632.40	32885	
027	Dutchess	05	Transportation & Public Utilities	1998	4909	163677604	641.14	33340	
027	Dutchess	05	Transportation & Public Utilities	1999	4978	174567833	674.34	35066	
027	Dutchess	05	Transportation & Public Utilities	2000	5456	203922384	718.81	37378	
027	Dutchess	06	Wholesale Trade	1975	2667	38445199	277.20	14414	
027	Dutchess	06	Wholesale Trade	1976	2590	39065577	290.12	15086	
027	Dutchess	06	Wholesale Trade	1977	2652	43545154	315.75	16419	
027	Dutchess	06	Wholesale Trade	1978	2781	47932069	331.48	17237	
027	Dutchess	06	Wholesale Trade	1979	2885	54184369	361.19	18782	
027	Dutchess	06	Wholesale Trade	1980	2917	61302263	404.16	21016	
027	Dutchess	06	Wholesale Trade	1981	2935	67286203	440.86	22925	
027	Dutchess	06	Wholesale Trade	1982	2973	75444649	488.08	25380	
027	Dutchess	06	Wholesale Trade	1983	2812	68149804	466.13	24239	
027	Dutchess	06	Wholesale Trade	1984	2778	73491050	508.68	26451	
027	Dutchess	06	Wholesale Trade	1985	2896	80691698	535.80	27862	
027	Dutchess	06	Wholesale Trade	1986	3047	90506996	571.19	29702	
027	Dutchess	06	Wholesale Trade	1987	3109	91139438	563.74	29315	
027	Dutchess	06	Wholesale Trade	1988	2436	66592374	525.80	27341	
027	Dutchess	06	Wholesale Trade	1989	2429	68253524	540.47	28104	
027	Dutchess	06	Wholesale Trade	1990	2327	69840032	577.09	30009	
027	Dutchess	06	Wholesale Trade	1991	2254	71555897	610.44	31743	
027	Dutchess	06	Wholesale Trade	1992	2178	72120783	636.92	33120	
027	Dutchess	06	Wholesale Trade	1993	2155	77891237	695.09	36144	
027	Dutchess	06	Wholesale Trade	1994	2121	75272535	682.35	35482	
027	Dutchess	06	Wholesale Trade	1995	2178	82767905	730.83	38003	
027	Dutchess	06	Wholesale Trade	1996	2129	79048786	714.06	37131	
027	Dutchess	06	Wholesale Trade	1997	2032	72746582	688.50	35802	
027	Dutchess	06	Wholesale Trade	1998	2141	84051637	755.08	39264	
027	Dutchess	06	Wholesale Trade	1999	2441	98059403	772.53	40172	
027	Dutchess	06	Wholesale Trade	2000	2498	103923375	800.21	41611	
027	Dutchess	07	Retail Trade	1975	11981	74207207	119.11	6194	
027	Dutchess	07	Retail Trade	1976	11708	76717688	126.01	6553	
027	Dutchess	07	Retail Trade	1977	12009	81815556	131.02	6813	
027	Dutchess	07	Retail Trade	1978	12663	90694569	137.73	7162	
027	Dutchess	07	Retail Trade	1979	13068	100555711	147.98	7695	
027	Dutchess	07	Retail Trade	1980	13303	107728378	155.73	8098	
027	Dutchess	07	Retail Trade	1981	13789	116706581	162.77	8464	
027	Dutchess	07	Retail Trade	1982	13953	125686233	173.23	9008	
027	Dutchess	07	Retail Trade	1983	14558	138646408	183.15	9524	
027	Dutchess	07	Retail Trade	1984	15768	157189301	191.71	9969	
027	Dutchess	07	Retail Trade	1985	16922	176618256	200.72	10437	
027	Dutchess	07	Retail Trade	1986	17692	194579469	211.50	10998	
027	Dutchess	07	Retail Trade	1987	18521	217418307	225.75	11739	
027	Dutchess	07	Retail Trade	1988	19719	245608310	239.52	12455	
027	Dutchess	07	Retail Trade	1989	19437	250223555	247.57	12873	
027	Dutchess	07	Retail Trade	1990	19577	258402674	253.84	13200	
027	Dutchess	07	Retail Trade	1991	18104	247384118	262.79	13665	
027	Dutchess	07	Retail Trade	1992	17676	249754783	271.73	14130	
027	Dutchess	07	Retail Trade	1993	17938	253425491	271.68	14128	
027	Dutchess	07	Retail Trade	1994	18194	261037152	275.91	14347	
027	Dutchess	07	Retail Trade	1995	18259	262577787	276.55	14381	
027	Dutchess	07	Retail Trade	1996	17989	265884507	284.24	14781	
027	Dutchess	07	Retail Trade	1997	17911	273732218	293.90	15283	
027	Dutchess	07	Retail Trade	1998	17954	290309831	310.95	16169	
027	Dutchess	07	Retail Trade	1999	18478	314795573	327.62	17036	
027	Dutchess	07	Retail Trade	2000	19263	342010927	341.44	17755	
027	Dutchess	08	Finance,  Insurance & Real Estate	1975	2408	22220255	177.43	9226	
027	Dutchess	08	Finance,  Insurance & Real Estate	1976	2460	23785788	185.91	9667	
027	Dutchess	08	Finance,  Insurance & Real Estate	1977	2462	24770945	193.51	10062	
027	Dutchess	08	Finance,  Insurance & Real Estate	1978	2590	28085987	208.54	10844	
027	Dutchess	08	Finance,  Insurance & Real Estate	1979	2637	30869149	225.14	11707	
027	Dutchess	08	Finance,  Insurance & Real Estate	1980	2744	34802170	243.95	12685	
027	Dutchess	08	Finance,  Insurance & Real Estate	1981	2880	39578821	264.32	13745	
027	Dutchess	08	Finance,  Insurance & Real Estate	1982	2986	42906942	276.33	14369	
027	Dutchess	08	Finance,  Insurance & Real Estate	1983	3122	49520910	305.04	15862	
027	Dutchess	08	Finance,  Insurance & Real Estate	1984	3278	54953768	322.44	16767	
027	Dutchess	08	Finance,  Insurance & Real Estate	1985	3603	63447242	338.64	17609	
027	Dutchess	08	Finance,  Insurance & Real Estate	1986	4038	76899147	366.21	19043	
027	Dutchess	08	Finance,  Insurance & Real Estate	1987	4574	93474576	393.04	20438	
027	Dutchess	08	Finance,  Insurance & Real Estate	1988	4806	101978635	408.02	21217	
027	Dutchess	08	Finance,  Insurance & Real Estate	1989	4789	107063211	429.92	22356	
027	Dutchess	08	Finance,  Insurance & Real Estate	1990	4773	111594419	449.65	23382	
027	Dutchess	08	Finance,  Insurance & Real Estate	1991	4489	112828551	483.36	25135	
027	Dutchess	08	Finance,  Insurance & Real Estate	1992	4500	116975378	499.86	25993	
027	Dutchess	08	Finance,  Insurance & Real Estate	1993	4443	117779472	509.82	26510	
027	Dutchess	08	Finance,  Insurance & Real Estate	1994	4388	119006172	521.54	27120	
027	Dutchess	08	Finance,  Insurance & Real Estate	1995	4117	113806263	531.64	27645	
027	Dutchess	08	Finance,  Insurance & Real Estate	1996	4309	124863850	557.20	28975	
027	Dutchess	08	Finance,  Insurance & Real Estate	1997	4628	136031420	565.30	29396	
027	Dutchess	08	Finance,  Insurance & Real Estate	1998	4599	142557753	596.15	31000	
027	Dutchess	08	Finance,  Insurance & Real Estate	1999	4908	162651536	637.29	33139	
027	Dutchess	08	Finance,  Insurance & Real Estate	2000	4657	161672748	667.65	34718	
027	Dutchess	09	Services	1975	20539	173416537	162.37	8443	
027	Dutchess	09	Services	1976	20841	182406982	168.32	8752	
027	Dutchess	09	Services	1977	21435	198125806	177.75	9243	
027	Dutchess	09	Services	1978	28359	293311518	198.90	10343	
027	Dutchess	09	Services	1979	29591	370407621	240.73	12518	
027	Dutchess	09	Services	1980	30393	352739413	223.19	11606	
027	Dutchess	09	Services	1981	32014	397230887	238.62	12408	
027	Dutchess	09	Services	1982	32415	439885553	260.97	13570	
027	Dutchess	09	Services	1983	33119	484371577	281.25	14625	
027	Dutchess	09	Services	1984	33919	535106487	303.39	15776	
027	Dutchess	09	Services	1985	35331	580824863	316.15	16440	
027	Dutchess	09	Services	1986	36367	638661592	337.72	17561	
027	Dutchess	09	Services	1987	36771	698166152	365.13	18987	
027	Dutchess	09	Services	1988	38765	796229538	395.00	20540	
027	Dutchess	09	Services	1989	39626	868056365	421.27	21906	
027	Dutchess	09	Services	1990	40150	937790157	449.17	23357	
027	Dutchess	09	Services	1991	40070	965858686	463.55	24104	
027	Dutchess	09	Services	1992	39683	989415879	479.48	24933	
027	Dutchess	09	Services	1993	40563	1011231001	479.42	24930	
027	Dutchess	09	Services	1994	39988	1067600511	513.42	26698	
027	Dutchess	09	Services	1995	40333	1129599675	538.59	28007	
027	Dutchess	09	Services	1996	41409	1140774321	529.79	27549	
027	Dutchess	09	Services	1997	42371	1170816579	531.40	27633	
027	Dutchess	09	Services	1998	43403	1261409963	558.89	29063	
027	Dutchess	09	Services	1999	45672	1374758996	578.86	30101	
027	Dutchess	09	Services	2000	45929	1418612263	593.98	30887	
027	Dutchess	10	Public Administration	1975	3084	40713560	253.91	13203	
027	Dutchess	10	Public Administration	1976	2936	40036285	262.24	13637	
027	Dutchess	10	Public Administration	1977	3337	46529503	268.15	13944	
027	Dutchess	10	Public Administration	1978	8001	79303801	190.61	9912	
027	Dutchess	10	Public Administration	1979	7921	90407771	219.49	11414	
027	Dutchess	10	Public Administration	1980	7915	101726971	247.16	12852	
027	Dutchess	10	Public Administration	1981	7898	117902172	287.09	14929	
027	Dutchess	10	Public Administration	1982	7587	121031922	306.77	15952	
027	Dutchess	10	Public Administration	1983	7398	131809253	342.64	17817	
027	Dutchess	10	Public Administration	1984	7584	147007720	372.76	19384	
027	Dutchess	10	Public Administration	1985	7800	160739934	396.31	20608	
027	Dutchess	10	Public Administration	1986	7855	172479316	422.25	21957	
027	Dutchess	10	Public Administration	1987	7977	186260944	449.02	23349	
027	Dutchess	10	Public Administration	1988	8363	204864499	471.07	24496	
027	Dutchess	10	Public Administration	1989	8374	221253401	508.11	26422	
027	Dutchess	10	Public Administration	1990	8783	238508910	522.24	27156	
027	Dutchess	10	Public Administration	1991	8373	235809497	541.62	28164	
027	Dutchess	10	Public Administration	1992	8273	247475544	575.24	29913	
027	Dutchess	10	Public Administration	1993	8280	258391110	600.10	31205	
027	Dutchess	10	Public Administration	1994	8352	270514024	622.86	32389	
027	Dutchess	10	Public Administration	1995	8413	275455305	629.65	32742	
027	Dutchess	10	Public Administration	1996	8256	278597793	648.91	33744	
027	Dutchess	10	Public Administration	1997	8200	283432030	664.71	34565	
027	Dutchess	10	Public Administration	1998	8230	294010728	686.98	35723	
027	Dutchess	10	Public Administration	1999	8367	304021265	698.81	36338	
027	Dutchess	10	Public Administration	2000	8477	317066760	719.26	37402	
029	Erie	00	All Industries	1975	345965	3507075072	194.94	10137	
029	Erie	00	All Industries	1976	349647	3828378305	210.56	10949	
029	Erie	00	All Industries	1977	355303	4144904520	224.34	11666	
029	Erie	00	All Industries	1978	406555	5027974496	237.83	12367	
029	Erie	00	All Industries	1979	416181	5495114098	253.92	13204	
029	Erie	00	All Industries	1980	405908	5713545687	270.69	14076	
029	Erie	00	All Industries	1981	401395	6175627801	295.87	15385	
029	Erie	00	All Industries	1982	384679	6227930285	311.35	16190	
029	Erie	00	All Industries	1983	378379	6371196202	323.81	16838	
029	Erie	00	All Industries	1984	392424	6837976872	335.10	17425	
029	Erie	00	All Industries	1985	401073	7304675118	350.25	18213	
029	Erie	00	All Industries	1986	411696	7712025308	360.24	18732	
029	Erie	00	All Industries	1987	424790	8208144400	371.59	19323	
029	Erie	00	All Industries	1988	435827	8856085736	390.77	20320	
029	Erie	00	All Industries	1989	444955	9381086492	405.45	21083	
029	Erie	00	All Industries	1990	448626	9943296546	426.23	22164	
029	Erie	00	All Industries	1991	439075	10152270996	444.65	23122	
029	Erie	00	All Industries	1992	435221	10601681475	468.45	24359	
029	Erie	00	All Industries	1993	434972	10869144674	480.54	24988	
029	Erie	00	All Industries	1994	440608	11307366453	493.52	25663	
029	Erie	00	All Industries	1995	442924	11839018362	514.02	26729	
029	Erie	00	All Industries	1996	443181	12240687927	531.16	27620	
029	Erie	00	All Industries	1997	448810	12726492339	545.31	28356	
029	Erie	00	All Industries	1998	449694	13389513921	572.59	29775	
029	Erie	00	All Industries	1999	456277	13948579359	587.89	30570	
029	Erie	00	All Industries	2000	459827	14479723874	605.57	31489	
029	Erie	01	Agriculture, Mining & Unclassified	1975	1606	16064673	192.38	10004	
029	Erie	01	Agriculture, Mining & Unclassified	1976	1670	17365451	200.01	10401	
029	Erie	01	Agriculture, Mining & Unclassified	1977	1853	20456493	212.28	11039	
029	Erie	01	Agriculture, Mining & Unclassified	1978	2507	27204696	208.72	10854	
029	Erie	01	Agriculture, Mining & Unclassified	1979	2494	27736119	213.90	11123	
029	Erie	01	Agriculture, Mining & Unclassified	1980	2611	29778659	219.37	11407	
029	Erie	01	Agriculture, Mining & Unclassified	1981	2518	31238584	238.56	12405	
029	Erie	01	Agriculture, Mining & Unclassified	1982	2410	31698630	252.94	13153	
029	Erie	01	Agriculture, Mining & Unclassified	1983	2549	37411967	282.21	14675	
029	Erie	01	Agriculture, Mining & Unclassified	1984	2626	41165258	301.48	15677	
029	Erie	01	Agriculture, Mining & Unclassified	1985	2690	40827988	291.83	15175	
029	Erie	01	Agriculture, Mining & Unclassified	1986	2713	42817983	303.46	15780	
029	Erie	01	Agriculture, Mining & Unclassified	1987	2861	43415923	291.87	15177	
029	Erie	01	Agriculture, Mining & Unclassified	1988	3023	45602406	290.08	15084	
029	Erie	01	Agriculture, Mining & Unclassified	1989	3018	46710242	297.61	15476	
029	Erie	01	Agriculture, Mining & Unclassified	1990	2924	47494474	312.39	16244	
029	Erie	01	Agriculture, Mining & Unclassified	1991	2856	48203980	324.64	16881	
029	Erie	01	Agriculture, Mining & Unclassified	1992	2964	50692334	328.93	17105	
029	Erie	01	Agriculture, Mining & Unclassified	1993	2987	52598632	338.66	17610	
029	Erie	01	Agriculture, Mining & Unclassified	1994	2889	51485591	342.73	17822	
029	Erie	01	Agriculture, Mining & Unclassified	1995	2949	53099921	346.33	18009	
029	Erie	01	Agriculture, Mining & Unclassified	1996	3090	58582377	364.58	18958	
029	Erie	01	Agriculture, Mining & Unclassified	1997	3198	62026419	372.95	19393	
029	Erie	01	Agriculture, Mining & Unclassified	1998	3275	65641039	385.50	20046	
029	Erie	01	Agriculture, Mining & Unclassified	1999	3355	69250614	396.91	20639	
029	Erie	01	Agriculture, Mining & Unclassified	2000	3505	75242941	412.78	21465	
029	Erie	03	Construction	1975	13532	190723802	271.04	14094	
029	Erie	03	Construction	1976	14040	205173078	281.03	14614	
029	Erie	03	Construction	1977	14228	211142549	285.38	14840	
029	Erie	03	Construction	1978	14940	241272134	310.57	16149	
029	Erie	03	Construction	1979	14910	254321074	328.03	17058	
029	Erie	03	Construction	1980	13662	253345712	356.62	18544	
029	Erie	03	Construction	1981	13272	264509860	383.28	19931	
029	Erie	03	Construction	1982	12335	260174181	405.64	21093	
029	Erie	03	Construction	1983	11897	254814098	411.88	21418	
029	Erie	03	Construction	1984	13001	282087370	417.25	21697	
029	Erie	03	Construction	1985	14715	325340163	425.18	22109	
029	Erie	03	Construction	1986	15127	347627021	441.94	22981	
029	Erie	03	Construction	1987	15864	367459008	445.45	23164	
029	Erie	03	Construction	1988	16630	397324950	459.45	23892	
029	Erie	03	Construction	1989	17177	433193928	485.00	25220	
029	Erie	03	Construction	1990	17931	474347028	508.74	26454	
029	Erie	03	Construction	1991	16111	440056092	525.26	27314	
029	Erie	03	Construction	1992	15164	437917812	555.35	28878	
029	Erie	03	Construction	1993	15351	452176336	566.46	29456	
029	Erie	03	Construction	1994	15415	456687910	569.74	29626	
029	Erie	03	Construction	1995	16096	495078198	591.50	30758	
029	Erie	03	Construction	1996	16665	533082076	615.16	31988	
029	Erie	03	Construction	1997	16323	544050477	640.95	33329	
029	Erie	03	Construction	1998	15969	556286903	669.89	34835	
029	Erie	03	Construction	1999	16868	604844507	689.55	35857	
029	Erie	03	Construction	2000	17033	618945638	698.81	36338	
029	Erie	04	Manufacturing	1975	107354	1411105875	252.78	13144	
029	Erie	04	Manufacturing	1976	108815	1603778012	283.43	14739	
029	Erie	04	Manufacturing	1977	110031	1780795980	311.24	16185	
029	Erie	04	Manufacturing	1978	108711	1884177563	333.31	17332	
029	Erie	04	Manufacturing	1979	109537	2043762286	358.81	18658	
029	Erie	04	Manufacturing	1980	100591	2008350525	383.95	19965	
029	Erie	04	Manufacturing	1981	98559	2156512424	420.78	21880	
029	Erie	04	Manufacturing	1982	87336	2010111620	442.61	23016	
029	Erie	04	Manufacturing	1983	79315	1916530528	464.68	24163	
029	Erie	04	Manufacturing	1984	80179	2005554928	481.03	25013	
029	Erie	04	Manufacturing	1985	78046	2092944979	515.71	26817	
029	Erie	04	Manufacturing	1986	76374	2097265542	528.08	27460	
029	Erie	04	Manufacturing	1987	76863	2106814898	527.12	27410	
029	Erie	04	Manufacturing	1988	77756	2225914530	550.52	28627	
029	Erie	04	Manufacturing	1989	76357	2233309280	562.47	29248	
029	Erie	04	Manufacturing	1990	74595	2308193811	595.06	30943	
029	Erie	04	Manufacturing	1991	72025	2312684430	617.49	32110	
029	Erie	04	Manufacturing	1992	70843	2400807703	651.71	33889	
029	Erie	04	Manufacturing	1993	69446	2456859906	680.34	35378	
029	Erie	04	Manufacturing	1994	69757	2633707168	726.06	37755	
029	Erie	04	Manufacturing	1995	70640	2716261476	739.46	38452	
029	Erie	04	Manufacturing	1996	69518	2763529474	764.48	39753	
029	Erie	04	Manufacturing	1997	69428	2903855484	804.34	41826	
029	Erie	04	Manufacturing	1998	69218	2988645011	830.33	43177	
029	Erie	04	Manufacturing	1999	68212	3118757404	879.26	45722	
029	Erie	04	Manufacturing	2000	67742	3134888677	889.94	46277	
029	Erie	05	Transportation & Public Utilities	1975	25237	338257742	257.75	13403	
029	Erie	05	Transportation & Public Utilities	1976	23928	348210330	279.86	14553	
029	Erie	05	Transportation & Public Utilities	1977	23469	373922623	306.40	15933	
029	Erie	05	Transportation & Public Utilities	1978	26052	446034125	329.25	17121	
029	Erie	05	Transportation & Public Utilities	1979	26512	480896158	348.82	18139	
029	Erie	05	Transportation & Public Utilities	1980	25672	506152887	379.16	19716	
029	Erie	05	Transportation & Public Utilities	1981	25162	552497273	422.26	21957	
029	Erie	05	Transportation & Public Utilities	1982	24411	574879467	452.89	23550	
029	Erie	05	Transportation & Public Utilities	1983	23798	572679817	462.78	24065	
029	Erie	05	Transportation & Public Utilities	1984	24557	608782975	476.75	24791	
029	Erie	05	Transportation & Public Utilities	1985	24598	639317781	499.82	25990	
029	Erie	05	Transportation & Public Utilities	1986	24973	654433668	503.95	26205	
029	Erie	05	Transportation & Public Utilities	1987	25089	670200521	513.72	26713	
029	Erie	05	Transportation & Public Utilities	1988	25658	706638793	529.63	27541	
029	Erie	05	Transportation & Public Utilities	1989	25865	729431572	542.34	28201	
029	Erie	05	Transportation & Public Utilities	1990	27123	800452494	567.54	29512	
029	Erie	05	Transportation & Public Utilities	1991	26278	808387592	591.59	30763	
029	Erie	05	Transportation & Public Utilities	1992	25574	846576663	636.60	33103	
029	Erie	05	Transportation & Public Utilities	1993	25446	855959411	646.90	33639	
029	Erie	05	Transportation & Public Utilities	1994	26102	884159231	651.41	33874	
029	Erie	05	Transportation & Public Utilities	1995	26254	895951927	656.27	34126	
029	Erie	05	Transportation & Public Utilities	1996	25810	910919220	678.71	35293	
029	Erie	05	Transportation & Public Utilities	1997	25920	938301242	696.15	36200	
029	Erie	05	Transportation & Public Utilities	1998	25974	978720391	724.62	37680	
029	Erie	05	Transportation & Public Utilities	1999	25928	995152619	738.10	38381	
029	Erie	05	Transportation & Public Utilities	2000	26474	1035202160	751.97	39102	
029	Erie	06	Wholesale Trade	1975	22468	273317142	233.94	12165	
029	Erie	06	Wholesale Trade	1976	21944	279218482	244.70	12724	
029	Erie	06	Wholesale Trade	1977	21895	295982688	259.97	13518	
029	Erie	06	Wholesale Trade	1978	22281	320696183	276.79	14393	
029	Erie	06	Wholesale Trade	1979	22799	347591179	293.18	15246	
029	Erie	06	Wholesale Trade	1980	22254	372830703	322.18	16753	
029	Erie	06	Wholesale Trade	1981	22383	402985865	346.23	18004	
029	Erie	06	Wholesale Trade	1982	21966	417203893	365.25	18993	
029	Erie	06	Wholesale Trade	1983	21651	423714624	376.36	19571	
029	Erie	06	Wholesale Trade	1984	21893	453320730	398.21	20707	
029	Erie	06	Wholesale Trade	1985	22198	477204202	413.43	21498	
029	Erie	06	Wholesale Trade	1986	22512	511850272	437.24	22736	
029	Erie	06	Wholesale Trade	1987	23728	550141426	445.87	23185	
029	Erie	06	Wholesale Trade	1988	24260	590860325	468.38	24356	
029	Erie	06	Wholesale Trade	1989	24043	607763496	486.12	25278	
029	Erie	06	Wholesale Trade	1990	24036	638280308	510.67	26555	
029	Erie	06	Wholesale Trade	1991	23164	631230679	524.04	27250	
029	Erie	06	Wholesale Trade	1992	23540	654360612	534.58	27798	
029	Erie	06	Wholesale Trade	1993	23601	660271595	538.02	27977	
029	Erie	06	Wholesale Trade	1994	23370	680840125	560.24	29133	
029	Erie	06	Wholesale Trade	1995	23631	720671518	586.49	30498	
029	Erie	06	Wholesale Trade	1996	23897	760435252	611.95	31821	
029	Erie	06	Wholesale Trade	1997	24653	810830573	632.50	32890	
029	Erie	06	Wholesale Trade	1998	25104	873903965	669.45	34811	
029	Erie	06	Wholesale Trade	1999	24892	880036441	679.90	35355	
029	Erie	06	Wholesale Trade	2000	24574	910418872	712.47	37049	
029	Erie	07	Retail Trade	1975	68283	372267952	104.84	5452	
029	Erie	07	Retail Trade	1976	70210	404317242	110.74	5759	
029	Erie	07	Retail Trade	1977	72277	423689593	112.73	5862	
029	Erie	07	Retail Trade	1978	74417	463871400	119.87	6233	
029	Erie	07	Retail Trade	1979	75591	508037826	129.25	6721	
029	Erie	07	Retail Trade	1980	73326	513581659	134.69	7004	
029	Erie	07	Retail Trade	1981	70171	525852286	144.11	7494	
029	Erie	07	Retail Trade	1982	68537	538137792	151.00	7852	
029	Erie	07	Retail Trade	1983	70564	579293459	157.87	8209	
029	Erie	07	Retail Trade	1984	74063	632619793	164.26	8542	
029	Erie	07	Retail Trade	1985	77119	678361042	169.16	8796	
029	Erie	07	Retail Trade	1986	81465	731638772	172.71	8981	
029	Erie	07	Retail Trade	1987	83045	775478636	179.58	9338	
029	Erie	07	Retail Trade	1988	84913	825005361	186.84	9716	
029	Erie	07	Retail Trade	1989	89080	902671245	194.87	10133	
029	Erie	07	Retail Trade	1990	89175	941612423	203.06	10559	
029	Erie	07	Retail Trade	1991	88436	1000477564	217.56	11313	
029	Erie	07	Retail Trade	1992	86247	1018093104	227.01	11804	
029	Erie	07	Retail Trade	1993	84855	1019258508	230.99	12012	
029	Erie	07	Retail Trade	1994	86162	1054793659	235.42	12242	
029	Erie	07	Retail Trade	1995	84869	1077516588	244.16	12696	
029	Erie	07	Retail Trade	1996	84028	1096152022	250.87	13045	
029	Erie	07	Retail Trade	1997	84239	1162842633	265.46	13804	
029	Erie	07	Retail Trade	1998	83393	1216640174	280.56	14589	
029	Erie	07	Retail Trade	1999	83406	1240851319	286.10	14877	
029	Erie	07	Retail Trade	2000	83891	1293792107	296.58	15422	
029	Erie	08	Finance,  Insurance & Real Estate	1975	17802	169775880	183.40	9537	
029	Erie	08	Finance,  Insurance & Real Estate	1976	18282	185070624	194.68	10123	
029	Erie	08	Finance,  Insurance & Real Estate	1977	19063	199643169	201.40	10473	
029	Erie	08	Finance,  Insurance & Real Estate	1978	19748	226085541	220.17	11449	
029	Erie	08	Finance,  Insurance & Real Estate	1979	20097	245905672	235.31	12236	
029	Erie	08	Finance,  Insurance & Real Estate	1980	20517	273864972	256.70	13348	
029	Erie	08	Finance,  Insurance & Real Estate	1981	20525	299858257	280.95	14609	
029	Erie	08	Finance,  Insurance & Real Estate	1982	20418	322148170	303.42	15778	
029	Erie	08	Finance,  Insurance & Real Estate	1983	20930	359557156	330.36	17179	
029	Erie	08	Finance,  Insurance & Real Estate	1984	22097	397951136	346.33	18009	
029	Erie	08	Finance,  Insurance & Real Estate	1985	22786	445224386	375.76	19539	
029	Erie	08	Finance,  Insurance & Real Estate	1986	24474	516256925	405.66	21094	
029	Erie	08	Finance,  Insurance & Real Estate	1987	26334	590211746	431.01	22413	
029	Erie	08	Finance,  Insurance & Real Estate	1988	27886	653138674	450.42	23422	
029	Erie	08	Finance,  Insurance & Real Estate	1989	28040	693809790	475.84	24744	
029	Erie	08	Finance,  Insurance & Real Estate	1990	27390	680956489	478.11	24862	
029	Erie	08	Finance,  Insurance & Real Estate	1991	27030	707011113	503.02	26157	
029	Erie	08	Finance,  Insurance & Real Estate	1992	27142	771657699	546.73	28430	
029	Erie	08	Finance,  Insurance & Real Estate	1993	27175	804141964	569.05	29591	
029	Erie	08	Finance,  Insurance & Real Estate	1994	27145	825639112	584.93	30416	
029	Erie	08	Finance,  Insurance & Real Estate	1995	26590	833611034	602.90	31351	
029	Erie	08	Finance,  Insurance & Real Estate	1996	26959	888774817	634.00	32968	
029	Erie	08	Finance,  Insurance & Real Estate	1997	27768	963813970	667.49	34710	
029	Erie	08	Finance,  Insurance & Real Estate	1998	27907	1059427846	730.06	37963	
029	Erie	08	Finance,  Insurance & Real Estate	1999	28657	1100496238	738.50	38402	
029	Erie	08	Finance,  Insurance & Real Estate	2000	28719	1199580902	803.28	41770	
029	Erie	09	Services	1975	84905	673117111	152.46	7928	
029	Erie	09	Services	1976	86018	718947487	160.73	8358	
029	Erie	09	Services	1977	87624	768151908	168.59	8766	
029	Erie	09	Services	1978	116370	1151897933	190.36	9899	
029	Erie	09	Services	1979	121466	1290984793	204.39	10628	
029	Erie	09	Services	1980	125096	1451747862	223.17	11605	
029	Erie	09	Services	1981	127443	1617015604	244.00	12688	
